HWI-ST884_106:2:1101:1153:1978#0/1	K00693
HWI-ST884_106:2:1101:1131:1982#0/1	K01533
HWI-ST884_106:2:1101:1051:1985#0/1	K03098
HWI-ST884_106:2:1101:1207:1994#0/1	K01876
HWI-ST884_106:2:1101:1307:1959#0/1	K01028
HWI-ST884_106:2:1101:1344:1967#0/1	K02470
HWI-ST884_106:2:1101:2008:1969#0/1	K04077
HWI-ST884_106:2:1101:2636:1959#0/1	K00341
HWI-ST884_106:2:1101:2706:1961#0/1	K01006
HWI-ST884_106:2:1101:2693:1998#0/1	K07012
HWI-ST884_106:2:1101:2803:1959#0/1	K03496
HWI-ST884_106:2:1101:2753:1990#0/1	K00876
HWI-ST884_106:2:1101:2867:1991#0/1	K01999
HWI-ST884_106:2:1101:3001:1957#0/1	K03088
HWI-ST884_106:2:1101:3456:1980#0/1	K00302
HWI-ST884_106:2:1101:3256:1981#0/1	K01478
HWI-ST884_106:2:1101:3397:1983#0/1	K06147
HWI-ST884_106:2:1101:3668:1996#0/1	K03695
HWI-ST884_106:2:1101:3813:1992#0/1	K02518
HWI-ST884_106:2:1101:4206:1955#0/1	K02357
HWI-ST884_106:2:1101:4114:1960#0/1	K00666
HWI-ST884_106:2:1101:4086:1966#0/1	K09760
HWI-ST884_106:2:1101:4158:1982#0/1	K02412
HWI-ST884_106:2:1101:4471:1966#0/1	K00333
HWI-ST884_106:2:1101:4326:1985#0/1	K03768
HWI-ST884_106:2:1101:4716:1980#0/1	K14540
HWI-ST884_106:2:1101:4866:1957#0/1	K01153
HWI-ST884_106:2:1101:5658:1992#0/1	K07787
HWI-ST884_106:2:1101:5831:1993#0/1	K01955
HWI-ST884_106:2:1101:6037:1976#0/1	K06207
HWI-ST884_106:2:1101:6116:1994#0/1	K00850
HWI-ST884_106:2:1101:6416:1959#0/1	K14441
HWI-ST884_106:2:1101:6349:1966#0/1	K03429
HWI-ST884_106:2:1101:6395:1992#0/1	K00602
HWI-ST884_106:2:1101:6673:1978#0/1	K01968
HWI-ST884_106:2:1101:6740:1996#0/1	K00123
HWI-ST884_106:2:1101:6928:1989#0/1	K02355
HWI-ST884_106:2:1101:7092:1954#0/1	K03046
HWI-ST884_106:2:1101:7234:1977#0/1	K01637
HWI-ST884_106:2:1101:7011:1995#0/1	K08963
HWI-ST884_106:2:1101:7037:1997#0/1	K04042
HWI-ST884_106:2:1101:7285:1954#0/1	K11690
HWI-ST884_106:2:1101:7319:1984#0/1	K03185
HWI-ST884_106:2:1101:7625:1994#0/1	K14170
HWI-ST884_106:2:1101:7776:1983#0/1	K06888
HWI-ST884_106:2:1101:7852:1991#0/1	K00113
HWI-ST884_106:2:1101:7916:1999#0/1	K01924
HWI-ST884_106:2:1101:8085:1978#0/1	K18299
HWI-ST884_106:2:1101:8009:1982#0/1	K02067
HWI-ST884_106:2:1101:8263:1962#0/1	K03798
HWI-ST884_106:2:1101:8422:1965#0/1	K06996
HWI-ST884_106:2:1101:8567:1955#0/1	K01679
HWI-ST884_106:2:1101:8708:1966#0/1	K02598
HWI-ST884_106:2:1101:8654:1995#0/1	K00370
HWI-ST884_106:2:1101:9111:1999#0/1	K00793
HWI-ST884_106:2:1101:9250:1964#0/1	K10773
HWI-ST884_106:2:1101:9495:1972#0/1	K00928
HWI-ST884_106:2:1101:9621:1970#0/1	K00700
HWI-ST884_106:2:1101:9652:1986#0/1	K12308
HWI-ST884_106:2:1101:10240:1952#0/1	K07287
HWI-ST884_106:2:1101:10564:1964#0/1	K07071
HWI-ST884_106:2:1101:10581:1994#0/1	K00605
HWI-ST884_106:2:1101:10695:1997#0/1	K02963
HWI-ST884_106:2:1101:10763:1980#0/1	K03520
HWI-ST884_106:2:1101:10924:1995#0/1	K18138
HWI-ST884_106:2:1101:11336:1952#0/1	K03070
HWI-ST884_106:2:1101:11645:1985#0/1	K01092
HWI-ST884_106:2:1101:11984:1976#0/1	K02283
HWI-ST884_106:2:1101:11920:1979#0/1	K01955
HWI-ST884_106:2:1101:12427:1951#0/1	K01665
